Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
aa27b0c7-f9c2-3e26-b0a1-92fc0d1725fd,b5ae2539-cb53-3242-bf5b-b810dcc2c508,Reginald96 Bruen238,M,GENERAL PRACTICE,1200 MEMORIAL DRIVE,DALTON,GA,30720,34.769222,-84.97041999999998,1233
e052cea3-2a42-3b70-9582-e821584c1d70,bdf9ff67-ca46-3954-a4b2-52296aff635f,Janette321 Fisher429,F,GENERAL PRACTICE,801 W GORDON STREET,THOMASTON,GA,30286,32.891673,-84.326691,534
0321d75d-5eae-3cc5-9453-3ab413b16185,2008ee50-2097-3262-a994-b258c6bc3f1d,Chauncey770 Steuber698,M,GENERAL PRACTICE,1900 TEBEAU STREET,WAYCROSS,GA,31501,31.211006,-82.357658,530
f4573ecf-5257-3ec7-bd1f-31379d9d2d6c,2f5ed0cf-6fbc-3413-9e96-abb7b91d3421,Whitney250 Wyman904,M,GENERAL PRACTICE,1200 NORTHSIDE FORSYTH DRIVE,CUMMING,GA,30041,34.207649,-84.13357099999998,930
161503fb-d18a-3228-af40-fe94f2182011,ef976bcb-30e8-3371-98fa-b3e511a7b12f,Wilfredo622 Medhurst46,M,GENERAL PRACTICE,1230 BAXTER STREET,ATHENS,GA,30606,33.949597,-83.370088,2049
47d762ca-c890-3be3-b4b9-69d3c004abbc,48264bd0-fa65-3754-8891-c84e9d86bff6,Tuan998 Fadel536,M,GENERAL PRACTICE,417 THIRD AVENUE,ALBANY,GA,31703,31.577669,-84.17945300000002,1176
4239b580-04c5-3a16-ad9f-ad92af8a7bf2,348c48e5-e511-362d-a05a-69882df35faa,Bernard308 Carter549,M,GENERAL PRACTICE,450 NORTHSIDE CHEROKEE BOULEVARD,CANTON,GA,30115,34.247201000000004,-84.490723,1623
c68527f7-6d53-3947-a89d-73af033fecc6,4bd8c4a2-d5ef-3625-a1b4-c31eac977cb2,Mayte822 Menchaca276,F,GENERAL PRACTICE,1364 CLIFTON ROAD  NE,ATLANTA,GA,30322,33.762909,-84.422675,4601
a674e09e-180d-3769-9342-f7bdf3b1c430,6e0d0fc7-555d-3513-abf1-2da7126d10a7,Elvin140 Herzog843,M,GENERAL PRACTICE,705 DIXIE STREET,CARROLLTON,GA,30117,33.584926,-85.034942,357
938e9e15-2ff0-3d60-8258-0f3936094bc1,93b0bfc0-5c96-3695-b4f4-31d8121c9998,Burt293 Quigley282,M,GENERAL PRACTICE,601 DALLAS HIGHWAY,VILLA RICA,GA,30180,33.72096,-84.95071800000002,547
a5cddb85-0806-3204-9f28-d2dd67d39592,1362d781-836f-35ad-95d1-749a00346e77,Cecille691 Halvorson124,F,GENERAL PRACTICE,1514 VERNON ROAD,LAGRANGE,GA,30240,33.030397,-85.03787,1145
288b3d61-c37f-3da8-9bee-93a14c878913,dc3aa464-1a60-34f8-bdd8-b06fcc5a2544,Patricia625 Kilback373,F,GENERAL PRACTICE,5126 HOSPITAL DRIVE NE,COVINGTON,GA,30014,33.605079,-83.847436,62
9ae04769-9d38-3eff-942b-50b28d7aecc5,b9edceda-bd2d-396a-9acc-1275f959d336,Jerold208 Spencer878,M,GENERAL PRACTICE,1035 RED BUD ROAD,CALHOUN,GA,30701,34.483191,-84.94508,504
be129d8e-3283-3bfa-9570-dcb6a52436b1,8b2f7617-d618-3b88-b48f-d8ef71649327,Franklin857 Bayer639,M,GENERAL PRACTICE,5353 REYNOLDS STREET,SAVANNAH,GA,31412,31.916773,-81.119488,751
